שאלה,תשובות,תשובה נכונה,מושג,פרק,
חיפוש בטלפון הנייד של אדם ללא צו שיפוטי או הסכמה מהווה פגיעה ב...,הזכות לפרטיות , הזכות לקניין , הזכות לחירות,הזכות לפרטיות,זכויות וחובות
מהו ההבדל העיקרי בין הזכות לפרטיות לזכות לשם טוב?,"פרטיות נוגעת לחשיפת מידע אישי, ושם טוב נוגעת לפרסום מידע שקרי שפוגע בתדמית ", אין הבדל בין השתיים , פרטיות חלה רק על אנשי ציבור,הזכות לפרטיות,זכויות וחובות
הזכות של אדם ששמו לא יוכפש באמצעות פרסום מידע שקרי ומעליב נקראת...,הזכות לשם טוב , הזכות לפרטיות , הזכות לחירות,הזכות לשם טוב,זכויות וחובות
"עיתון פרסם כתבה המייחסת לאיש עסקים מעשי מרמה מבלי לבדוק את העובדות, והתברר שהדברים שקריים. איזו זכות נפגעה?",הזכות לשם טוב , חופש הביטוי , הזכות לביטחון,הזכות לשם טוב,זכויות וחובות
מדוע הזכות לשם טוב נחשבת לזכות שקשה להגן עליה בדמוקרטיה?,בגלל ההתנגשות התמידית שלה עם חופש הביטוי וזכות הציבור לדעת , כי הממשלה אוסרת על הגשת תביעות דיבה , כי רק לשופטים מותר להחליט מהו שם טוב,הזכות לשם טוב,זכויות וחובות
הזכות של כל אדם לנוע ממקום למקום בתוך המדינה ומחוצה לה באופן חופשי היא...,חופש התנועה , חופש העיסוק , הזכות לחיים,חופש התנועה,זכויות וחובות
באילו נסיבות מוסמכת המדינה להגביל את חופש התנועה של אזרחיה?,כאשר התנועה מסכנת את ביטחון המדינה או את בריאות הציבור , בכל פעם שהממשלה רוצה למנוע הפגנות , רק כאשר לאדם אין תעודת זהות בתוקף,חופש התנועה,זכויות וחובות
הטלת עוצר על יישוב מסוים מסיבות ביטחוניות מהווה פגיעה ישירה ב...,חופש התנועה , חופש ההתאגדות , הזכות לקניין,חופש התנועה,זכויות וחובות
הזכות של אדם לבחור לעצמו מקצוע ומקום עבודה כרצונו נקראת...,חופש העיסוק , חופש המצפון , הזכות לשוויון,חופש העיסוק,זכויות וחובות
מתי מותר למדינה להציב תנאים (כגון רישיון או הסמכה) המגבילים את חופש העיסוק?,כאשר מדובר במקצועות הדורשים מיומנות להגנה על הציבור (כמו רפואה) , המדינה לעולם אינה רשאית להציב תנאים , רק כאשר העובד הוא אזרח זר,חופש העיסוק,זכויות וחובות
"אדם רוצה לפתוח עסק, אך העירייה מסרבת לתת לו רישיון ללא סיבה חוקית. איזו זכות נפגעה?",חופש העיסוק , הזכות לחיים , חופש הביטוי,חופש העיסוק,זכויות וחובות
הזכות של כל אדם להאמין בדת מסוימת ולקיים את טקסי הפולחן שלה היא...,חופש דת , החופש מדת , חופש המחשבה,חופש דת / החופש מדת,זכויות וחובות
"מה מבטיח ""החופש מדת""?",שאדם לא ייאלץ לקיים מצוות דתיות או להשתייך לקהילה דתית בניגוד לרצונו , שכל אזרח חייב להכיר את כל הדתות במדינה , שהמדינה רשאית לסגור בתי כנסת ומסגדים,חופש דת / החופש מדת,זכויות וחובות
כפיית נישואין דתיים על אזרחים שאינם מעוניינים בכך נחשבת לפגיעה ב...,החופש מדת , חופש דת , הזכות לחיים,חופש דת / החופש מדת,זכויות וחובות
"מהו ""רוב רגיל"" בתהליך קבלת החלטות?",החלטה המתקבלת על ידי מספר הקולות הגדול ביותר של הנוכחים בהצבעה / החלטה המחייבת תמיכה של לפחות 61 חברי כנסת / החלטה המחייבת הסכמה של כלל המשתתפים,החלטה המתקבלת על ידי מספר הקולות הגדול ביותר של הנוכחים בהצבעה,רוב רגיל,עקרונות הדמוקרטיה ושלטון החוק,
"באיזה מצב נדרש ""רוב מוחלט"" בכנסת ישראל?","כאשר נדרשת תמיכה של יותר ממחצית מכלל חברי הגוף (למשל 61 ח""כים) / כאשר יש שוויון בקולות המצביעים / רק בעת הכרזת מלחמה","כאשר נדרשת תמיכה של יותר ממחצית מכלל חברי הגוף (למשל 61 ח""כים)",רוב מוחלט,עקרונות הדמוקרטיה ושלטון החוק,
"מהו ""רוב מיוחד"" (מיוחס) ומה מטרתו?","רוב הגדול מהרוב המוחלט (למשל 80 ח""כים) שנועד להבטיח הסכמה רחבה בנושאים גורליים / רוב שבו רק שרי הממשלה רשאים להצביע / רוב שבו קולו של ראש הממשלה נספר פעמיים","רוב הגדול מהרוב המוחלט (למשל 80 ח""כים) שנועד להבטיח הסכמה רחבה בנושאים גורליים",רוב מיוחד/מיוחס,עקרונות הדמוקרטיה ושלטון החוק,
"מדוע דמוקרטיה חייבת ליישם את ""עקרון הגבלת השלטון""?",כדי למנוע עריצות וריכוז כוח מופרז בידי השלטון שיפגע בזכויות אדם / כדי לאפשר לשלטון לפעול ללא ביקורת של האופוזיציה / כדי להבטיח שהשלטון יוכל לשלוט לתקופה בלתי מוגבלת,כדי למנוע עריצות וריכוז כוח מופרז בידי השלטון שיפגע בזכויות אדם,עקרון הגבלת השלטון,עקרונות הדמוקרטיה ושלטון החוק,
איזו שיטה נועדה להגביל את השלטון על ידי חלוקת סמכויות בין גופים שונים?,הפרדת רשויות (איזונים ובלמים) / דמוקרטיה ישירה / שיטת הבחירות היחסית,הפרדת רשויות (איזונים ובלמים),הפרדת רשויות (איזונים ובלמים),עקרונות הדמוקרטיה ושלטון החוק,
"מה המשמעות של מערכת ה""איזונים ובלמים"" בין הרשויות?",כל רשות מגבילה ומפקחת על הרשויות האחרות כדי לשמור על החוק / לכל רשות יש כוח מוחלט בתחומה מבלי שהאחרות יתערבו / הרשות המבצעת היא זו שקובעת את סמכויות הרשויות האחרות,כל רשות מגבילה ומפקחת על הרשויות האחרות כדי לשמור על החוק,הפרדת רשויות (איזונים ובלמים),עקרונות הדמוקרטיה ושלטון החוק,
"אילו מהבאים נחשבים למנגנוני פיקוח וביקורת ""פורמליים""?","הכנסת, מבקר המדינה ומערכת המשפט / העיתונות, דעת הקהל ואומנות / הרשתות החברתיות והפגנות רחוב","הכנסת, מבקר המדינה ומערכת המשפט",מנגנוני פיקוח פורמליים,עקרונות הדמוקרטיה ושלטון החוק,
"כיצד ממלא ""מבקר המדינה"" את תפקידו כמנגנון פיקוח פורמלי?",על ידי בדיקת פעילות משרדי הממשלה ופרסום דוחות על ליקויים / על ידי הגשת כתבי אישום פליליים נגד שרים / על ידי חקיקת חוקים שמגבילים את הממשלה,על ידי בדיקת פעילות משרדי הממשלה ופרסום דוחות על ליקויים,מנגנוני פיקוח פורמליים,עקרונות הדמוקרטיה ושלטון החוק,
"מה מייחד את מנגנוני הפיקוח ה""בלתי פורמליים""?","הם פועלים מכוח יוזמה אזרחית (עיתונות, אמנות, הפגנות) ולא מכוח חוק / הם גופים שחובה על הממשלה להישמע להם / הם ממומנים ישירות על ידי תקציב המדינה","הם פועלים מכוח יוזמה אזרחית (עיתונות, אמנות, הפגנות) ולא מכוח חוק",מנגנוני פיקוח בלתי פורמליים,עקרונות הדמוקרטיה ושלטון החוק,
